countryCode,id,name,code,startDate,endDate,year,clusterCode,cluster,requirements,funding,percentFunded
#country+code,#activity+appeal+id+fts_internal,#activity+appeal+name,#activity+appeal+id+external,#date+start,#date+end,#date+year,#sector+cluster+code,#sector+cluster+name,#value+funding+required+usd,#value+funding+total+usd,#value+funding+pct
AFG,645,Afghanistan 2018,HAFG18,2018-01-01,2018-12-31,2018,4088,Aviation,16390000,12225926,75
AFG,645,Afghanistan 2018,HAFG18,2018-01-01,2018-12-31,2018,4089,Coordination,15900000,14915683,94
AFG,645,Afghanistan 2018,HAFG18,2018-01-01,2018-12-31,2018,4097,Education in Emergencies WG,29685000,5013588,17
AFG,645,Afghanistan 2018,HAFG18,2018-01-01,2018-12-31,2018,4090,Emergency Shelter and NFI,52975538,27033198,51
AFG,645,Afghanistan 2018,HAFG18,2018-01-01,2018-12-31,2018,4091,Food Security and Agriculture,231000000,186752362,81
AFG,645,Afghanistan 2018,HAFG18,2018-01-01,2018-12-31,2018,4092,Health,48696240,17898154,37
AFG,645,Afghanistan 2018,HAFG18,2018-01-01,2018-12-31,2018,4093,Multi Purpose Cash,36400000,4080769,11
AFG,645,Afghanistan 2018,HAFG18,2018-01-01,2018-12-31,2018,,Not specified,,65949904,
AFG,645,Afghanistan 2018,HAFG18,2018-01-01,2018-12-31,2018,4094,Nutrition,62370635,34404449,55
AFG,645,Afghanistan 2018,HAFG18,2018-01-01,2018-12-31,2018,4095,Protection,66505803,29198746,44
AFG,645,Afghanistan 2018,HAFG18,2018-01-01,2018-12-31,2018,4096,"Water, Sanitation and Hygiene",39000782,24569034,63
AFG,544,Afghanistan 2017,HAFG17,2017-01-01,2017-12-31,2017,205,Aviation,17000000,12742023,75
AFG,544,Afghanistan 2017,HAFG17,2017-01-01,2017-12-31,2017,206,Coordination,9500000,13785104,145
AFG,544,Afghanistan 2017,HAFG17,2017-01-01,2017-12-31,2017,3964,Education in Emergencies WG,40000000,1321353,3
AFG,544,Afghanistan 2017,HAFG17,2017-01-01,2017-12-31,2017,207,Emergency Shelter and NFI,35600000,18661212,52
AFG,544,Afghanistan 2017,HAFG17,2017-01-01,2017-12-31,2017,208,Food Security and Agriculture,65590000,83368135,127
AFG,544,Afghanistan 2017,HAFG17,2017-01-01,2017-12-31,2017,209,Health,30000000,24425281,81
AFG,544,Afghanistan 2017,HAFG17,2017-01-01,2017-12-31,2017,210,Multi Purpose Cash,64775000,25938725,40
AFG,544,Afghanistan 2017,HAFG17,2017-01-01,2017-12-31,2017,,Not specified,,69032991,
AFG,544,Afghanistan 2017,HAFG17,2017-01-01,2017-12-31,2017,211,Nutrition,48000000,27474573,57
AFG,544,Afghanistan 2017,HAFG17,2017-01-01,2017-12-31,2017,212,Protection,54413760,29481076,54
AFG,544,Afghanistan 2017,HAFG17,2017-01-01,2017-12-31,2017,3965,Refugee Chapter,19535052,3388177,17
AFG,544,Afghanistan 2017,HAFG17,2017-01-01,2017-12-31,2017,213,"Water, Sanitation and Hygiene",25000000,9776526,39
